Sentence,Label
"At least 59 people have been killed and more than 155 injured in a nightclub fire in North Macedonia, officials say.",0
"The fire broke out around 02:30 (01:30 GMT) at the Pulse club in Kocani, a town around 100 km (60 miles) east of the capital, Skopje, where 1,500 people were attending a concert by DNK, a popular hip-hop duo in the country.",0
"It’s believed the fire had been started by sparks from pyrotechnic devices that had hit the ceiling, which was made of highly flammable material.",0
Prime Minister Hristijan Mickoski called it a “difficult and very sad day” for the country which had lost many “young lives.”,0
"Poland’s president, Andrzej Duda, said this week that having US nuclear weapons in Poland would act as a “deterrent” against Russia. ",0
He believes it would make Poland stronger and safer in the face of Russian threats.,0
"However, President Putin would likely see this move as a provocation.",0
But Duda sees it as a defensive step to boost deterrence.,1
The lawsuits between actors Blake Lively and Justin Baldoni have shed light on a secretive group of people in Hollywood who operate behind the scenes to keep a lid on fallouts and scandals. ,0
"There were also the alleged tensions between Kim Cattrall and Sarah Jessica Parker, who were co-stars of Sex and the City, which ran for six years.",1
Few fallouts have spilled out into the open in recent years and those that did were picked over simply because they're so rare.,1
"For hundreds of high-profile cases, crisis PR managers are employed to keep a lid on the industry's messy reality, which will never see the light of day.",1
"Over a dozen people have died, including 11 in Missouri, after deadly tornadoes tore through multiple states in the US.",0
"The other deaths occurred in Oklahoma, Arkansas, and Texas, where three people were killed in a car crash during a fierce dust storm",0
"The National Weather Service warned of ""multiple intense to violent long-track tornadoes"" in these areas and called it a ""particularly dangerous situation"" on X.",0
A tornado warning - the highest level threat - was also issued in central Mississippi on Saturday morning.,0
"Residents were warned in all caps to ""take cover now"" and cautioned about flying debris.",0
Disney's live-action remake of Snow White is set to be released in UK cinemas next week.,1
"But the film, which stars Rachel Zegler and Gal Gadot, has faced several issues throughout its production.",0
"The movie is being released amid a debate about how the seven dwarfs are represented on screen, while Zegler has made headlines for critical comments about the original 1937 film.",1
Relatives of some of Mexico's thousands of disappeared people hoped to find signs of their missing loved ones at a Mexican cartel 'extermination' site. ,1
"Up to 200 pairs of shoes, hundreds of items of clothing, scores of suitcases and rucksacks were found at Izaguirre Ranch, after the owners themselves were apparently disposed of.",0
Several ovens and human bone fragments were also found.,0
"The site was used, activists claim, by the New Generation Jalisco Cartel (CJNG) for the forced recruitment and training of their foot-soldiers, and for torturing their victims and cremating their bodies.",0
"The place is now crawling with police officers, federal investigators and forensics teams in dust overalls.",1
Greenland's politicians have shown a united front against US President Donald Trump's campaign to take over the island.,1
